"Keyword","Trends","Impressions"
"kerstmarkt amsterdam","[22,32,22,36]","112"
"things to see in amsterdam","[25,37,32,25,26,25,27]","197"
"amsterdam attractions","[26,30,27,29,25,31,33,31]","232"
"amsterdam holland","[26,21,28,27,20,22,27,26,22,31]","250"
"ámsterdam países bajos","[27,26,24,31,36,32,27,28,26,25]","282"
"amsterdam pais","[22,24,30,37,25,30,40,37,28,27]","300"
"hamsterdam","[23,49,28,42,30,27,32,26,30,46,40]","373"
"amsterdam history","[20,47,33,43,37,23,48,53,43,55]","402"
"hôtels amsterdam pays-bas","[118,28,217,23,23]","409"
"amsterdam nl","[36,34,56,46,40,45,41,38,39,40,43]","458"
"netherlands capital city","[38,45,45,38,65,39,35,51,40,35,34]","465"
"amsterdam aktivitäten","[47,46,50,45,62,59,20,44,33,30,43]","479"
"amsterdam city","[49,46,37,46,59,41,46,34,37,48,42]","485"
"netherlands amsterdam","[42,33,48,42,41,47,40,39,39,75,45]","491"
"best things to do in amsterdam","[56,38,44,48,40,56,48,41,38,43,48]","500"
"amsterdam olanda","[47,46,51,39,32,63,43,49,47,49,53]","519"
"button amsterdam","[28,48,41,33,59,50,72,91,105]","527"
"jumping amsterdam","[23,42,58,128,51,37,25,53,47,39,47]","550"
"capital de holanda","[35,38,47,51,56,40,64,61,82,53,50]","577"
"is amsterdam in the netherlands","[57,56,63,62,55,54,47,72,52,56,62]","636"
"snowworld amsterdam","[30,59,41,50,83,67,61,67,61,81,98]","698"
"sehenswürdigkeiten amsterdam","[54,53,99,75,72,65,61,71,56,46,50]","702"
"amsterdam population","[73,56,83,80,66,60,65,66,54,68,53]","724"
"rino amsterdam","[66,69,76,57,56,48,52,69,81,90,73]","737"
"things to do in amsterdam netherlands","[93,77,64,73,60,72,48,68,78,55,68]","756"
"koekemannetje amsterdam","[39,62,47,63,46,78,112,79,115,83,82]","806"
"morey amsterdam","[72,74,65,57,67,60,82,85,59,85,103]","809"
"ámsterdam","[89,60,56,73,84,63,88,117,66,57,65]","818"
"mediacollege amsterdam","[63,79,60,70,94,89,32,84,74,113,78]","836"
"amsterdam pays","[67,67,84,78,61,72,99,80,80,72,85]","845"
"winterparadijs amsterdam","[25,59,51,46,76,68,90,124,165,170]","874"
"trip to amsterdam","[166,117,118,82,99,66,42,40,63,50,39]","882"
